[Frame 0000] time = 3.927s, FPS ~ 0.3
[Frame 0001] time = 0.031s, FPS ~ 31.8
[Frame 0002] time = 0.030s, FPS ~ 33.8
[Frame 0003] time = 0.020s, FPS ~ 50.1
[Frame 0004] time = 0.020s, FPS ~ 50.0
[Frame 0005] time = 0.030s, FPS ~ 33.3
[Frame 0006] time = 0.020s, FPS ~ 50.1
[Frame 0007] time = 0.020s, FPS ~ 50.0
[Frame 0008] time = 0.020s, FPS ~ 50.0
[Frame 0009] time = 0.020s, FPS ~ 49.4
[Frame 0010] time = 0.030s, FPS ~ 33.7
[Frame 0011] time = 0.020s, FPS ~ 49.7
[Frame 0012] time = 0.030s, FPS ~ 33.0
[Frame 0013] time = 0.021s, FPS ~ 48.3
[Frame 0014] time = 0.030s, FPS ~ 33.2
[Frame 0015] time = 0.020s, FPS ~ 50.1
[Frame 0016] time = 0.030s, FPS ~ 33.3
[Frame 0017] time = 0.020s, FPS ~ 50.0
[Frame 0018] time = 0.020s, FPS ~ 50.1
[Frame 0019] time = 0.020s, FPS ~ 49.9
[Frame 0020] time = 0.030s, FPS ~ 33.0
[Frame 0021] time = 0.031s, FPS ~ 32.6
[Frame 0022] time = 0.020s, FPS ~ 50.3
[Frame 0023] time = 0.021s, FPS ~ 48.7
[Frame 0024] time = 0.020s, FPS ~ 50.3
[Frame 0025] time = 0.020s, FPS ~ 49.7
[Frame 0026] time = 0.020s, FPS ~ 50.1
[Frame 0027] time = 0.020s, FPS ~ 49.9
[Frame 0028] time = 0.020s, FPS ~ 50.0
[Frame 0029] time = 0.020s, FPS ~ 50.0
[Frame 0030] time = 0.020s, FPS ~ 50.1
[Frame 0031] time = 0.020s, FPS ~ 49.3
[Frame 0032] time = 0.020s, FPS ~ 49.7
[Frame 0033] time = 0.020s, FPS ~ 50.0
[Frame 0034] time = 0.020s, FPS ~ 50.0
[Frame 0035] time = 0.020s, FPS ~ 50.0
[Frame 0036] time = 0.021s, FPS ~ 48.1
[Frame 0037] time = 0.020s, FPS ~ 49.7
[Frame 0038] time = 0.020s, FPS ~ 50.0
[Frame 0039] time = 0.020s, FPS ~ 50.1
[Frame 0040] time = 0.020s, FPS ~ 50.1
[Frame 0041] time = 0.030s, FPS ~ 33.0
[Frame 0042] time = 0.030s, FPS ~ 33.3
[Frame 0043] time = 0.020s, FPS ~ 50.0
[Frame 0044] time = 0.020s, FPS ~ 49.9
[Frame 0045] time = 0.020s, FPS ~ 49.9
[Frame 0046] time = 0.020s, FPS ~ 50.0
[Frame 0047] time = 0.020s, FPS ~ 49.5
[Frame 0048] time = 0.020s, FPS ~ 49.9
[Frame 0049] time = 0.020s, FPS ~ 50.0
