x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame_index,velocity km/h
303.0445,212.13588,340.42825,262.5119,1,0.7232595,1,car,0,107
357.01712,236.33249,425.86118,311.74738,1,0.6570341,2,car,0,110
287.15906,175.5103,306.21536,200.77782,1,0.6346802,3,car,0,112
252.02469,184.6882,274.6361,215.84839,1,0.6148449,4,car,0,109
298.5996,147.08278,309.6795,164.4458,1,0.59403294,5,car,0,105
347.88278,179.15239,374.79004,209.27783,1,0.5905749,6,car,0,89
303.69098,215.92995,341.50925,266.14078,1,0.69710433,1,car,1,107
288.35916,175.91208,307.591,202.89987,1,0.6617989,3,car,1,112
298.15955,147.47218,310.1201,165.18477,1,0.58615065,5,car,1,105
349.9439,177.24767,376.11395,211.21332,1,0.5638553,6,car,1,89
358.51263,239.25998,431.9047,318.96793,1,0.54829866,2,car,1,110
250.34323,185.82625,276.9457,220.60977,1,0.5169837,4,car,1,109
303.64996,215.84451,341.55008,266.08435,1,0.6984636,1,car,2,107
288.3561,175.91975,307.602,202.91208,1,0.662879,3,car,2,112
298.15414,147.4483,310.12314,165.20016,1,0.5855923,5,car,2,105
349.93182,177.22067,376.11948,211.23062,1,0.5630537,6,car,2,89
358.4777,239.26576,431.92734,318.8661,1,0.5547469,2,car,2,110
250.33833,185.83183,276.98288,220.62727,1,0.5158547,4,car,2,109
303.64368,215.91298,341.54306,266.09708,1,0.6962819,1,car,3,107
288.363,175.9155,307.5773,202.89653,1,0.6616661,3,car,3,112
298.15674,147.46466,310.12286,165.18716,1,0.5859503,5,car,3,105
349.9454,177.24214,376.11237,211.21432,1,0.5643806,6,car,3,89
358.49377,239.25613,431.91632,318.89456,1,0.55043614,2,car,3,110
250.3515,185.8407,276.93576,220.6077,1,0.5174466,4,car,3,109
304.5377,218.15633,342.11926,271.59558,1,0.719094,1,car,4,107
287.82123,176.96805,307.1767,204.76814,1,0.6464469,3,car,4,112
361.45868,244.87029,436.33755,315.78036,1,0.62344104,2,car,4,110
250.25099,186.53255,274.91833,221.40239,1,0.55365354,4,car,4,109
298.42664,147.2556,310.8635,166.15622,1,0.55300957,5,car,4,105
350.44263,178.91661,377.76382,214.26471,1,0.38676187,6,car,4,89
304.53918,218.15062,342.11707,271.60544,1,0.71973944,1,car,5,107
287.83243,176.9596,307.17215,204.76982,1,0.6469979,3,car,5,112
361.46268,244.88147,436.35822,315.7361,1,0.62385565,2,car,5,110
298.4275,147.25903,310.85696,166.14966,1,0.55250245,5,car,5,105
250.26007,186.52307,274.89594,221.39903,1,0.55214614,4,car,5,109
350.44385,178.92038,377.76126,214.25926,1,0.38634554,6,car,5,89
303.1822,222.65907,346.42578,278.1062,1,0.667664,1,car,6,107
288.16006,178.47333,308.1688,205.50803,1,0.6214879,3,car,6,112
351.5461,181.93251,380.13126,215.98587,1,0.5663568,6,car,6,89
298.80807,148.32391,310.5078,166.54951,1,0.54293525,5,car,6,105
364.99335,250.7384,433.01086,324.7062,1,0.5099952,2,car,6,110
249.62706,188.75066,274.82312,222.70956,1,0.46806848,4,car,6,109
303.18115,222.65778,346.42557,278.1056,1,0.6675205,1,car,7,107
288.16074,178.47406,308.1702,205.50783,1,0.62142646,3,car,7,112
351.5467,181.9315,380.13068,215.9869,1,0.56638396,6,car,7,89
298.8074,148.32463,310.50763,166.55115,1,0.54309636,5,car,7,105
364.9911,250.73694,433.00784,324.70175,1,0.509948,2,car,7,110
249.6271,188.7495,274.82346,222.71025,1,0.46793365,4,car,7,109
304.5551,228.24396,347.38846,284.67557,1,0.67117965,1,car,8,107
287.95322,179.63618,309.528,206.62448,1,0.62237775,3,car,8,112
250.09045,189.25502,275.2217,224.8301,1,0.564287,4,car,8,109
299.02585,148.66006,311.45438,166.0636,1,0.52545255,5,car,8,105
351.9896,179.00194,380.26175,217.83055,1,0.4191057,6,car,8,89
372.053,253.8337,439.18442,328.69864,1,0.27054316,2,car,8,110
304.07202,226.029,347.36176,285.0902,1,0.6748394,1,car,9,107
287.9445,179.64198,309.4992,206.60666,1,0.62290233,3,car,9,112
250.10684,189.29448,275.19785,224.81465,1,0.561649,4,car,9,109
299.0324,148.6824,311.44928,166.03519,1,0.5268173,5,car,9,105
352.01218,179.0443,380.2397,217.81564,1,0.41844743,6,car,9,89
263.27585,147.31004,276.18317,166.3882,1,0.41414386,7,car,9,113
281.0843,142.85501,291.67786,159.52608,1,0.3550942,8,car,9,73
372.08582,253.88809,439.19788,328.5385,1,0.2681143,2,car,9,110
304.46396,228.42253,347.3917,284.67188,1,0.6707927,1,car,10,107
287.94336,179.65865,309.5053,206.61282,1,0.6227119,3,car,10,112
250.10536,189.29329,275.2073,224.82446,1,0.5648595,4,car,10,109
299.01654,148.67056,311.4569,166.04219,1,0.5280108,5,car,10,105
351.9991,179.008,380.26086,217.82988,1,0.4169434,6,car,10,89
263.24417,147.24553,276.1985,166.4069,1,0.41614053,7,car,10,113
281.0851,142.84824,291.68628,159.52626,1,0.3550266,8,car,10,73
372.04816,253.90991,439.10968,327.82242,1,0.28067306,2,car,10,110
303.72992,231.0216,350.97433,291.85992,1,0.68743104,1,car,11,107
288.5254,181.0782,308.72845,208.04051,1,0.6128076,3,car,11,112
248.38971,192.50092,275.3368,227.4569,1,0.5612752,4,car,11,109
299.17044,148.90517,311.4631,167.22012,1,0.47478223,5,car,11,105
264.86,149.24655,276.52606,166.69681,1,0.41212273,7,car,11,113
352.2758,182.46577,382.88522,220.21718,1,0.37226468,6,car,11,89
281.4676,144.09653,291.41257,159.2901,1,0.36281532,8,car,11,73
303.73038,231.0209,350.975,291.85837,1,0.6874673,1,car,12,107
288.5268,181.0789,308.72858,208.04059,1,0.6127777,3,car,12,112
248.38995,192.50154,275.33694,227.45714,1,0.5614022,4,car,12,109
299.17126,148.90471,311.4641,167.22188,1,0.47483736,5,car,12,105
264.8593,149.24585,276.525,166.69647,1,0.41205135,7,car,12,113
352.27722,182.46593,382.88562,220.21602,1,0.3723407,6,car,12,89
281.4686,144.09854,291.4103,159.29118,1,0.362551,8,car,12,73
304.53964,233.31552,352.8068,300.2165,1,0.64139044,1,car,13,107
289.01425,179.87123,309.21082,210.08107,1,0.626826,3,car,13,112
248.75237,192.52795,273.70193,227.7692,1,0.60847026,4,car,13,109
263.46863,147.48521,276.09882,167.0625,1,0.41347528,7,car,13,113
298.54684,149.60374,311.0013,168.71648,1,0.39859024,5,car,13,105
354.91196,181.74582,385.39047,222.50029,1,0.39559427,6,car,13,89
280.89594,144.72324,291.2196,160.31856,1,0.34541053,8,car,13,73
304.53912,233.31474,352.7964,300.19226,1,0.6424789,1,car,14,107
289.02023,179.87888,309.19644,210.0643,1,0.62599623,3,car,14,112
248.75066,192.52829,273.7025,227.77603,1,0.6066662,4,car,14,109
263.47144,147.48734,276.0975,167.06088,1,0.41361988,7,car,14,113
298.55035,149.60611,310.9984,168.71202,1,0.39798594,5,car,14,105
354.96817,181.90918,385.3617,222.45744,1,0.3945253,6,car,14,89
280.89764,144.7237,291.21753,160.31752,1,0.34533235,8,car,14,73
304.4045,235.68427,353.7352,306.04285,1,0.71693754,1,car,15,107
287.71863,183.5283,310.27264,211.91628,1,0.5994698,3,car,15,112
247.9908,194.296,275.45038,229.89308,1,0.54226017,4,car,15,109
356.42535,186.33125,387.21432,223.51344,1,0.5352187,6,car,15,89
298.74387,149.33728,311.72256,169.67798,1,0.49353543,5,car,15,105
281.24966,144.96014,291.83868,160.57306,1,0.4649791,8,car,15,73
263.72858,148.85092,276.01743,167.3754,1,0.46457064,7,car,15,113
304.37515,235.68472,353.74304,306.03503,1,0.7153222,1,car,16,107
287.71994,183.52022,310.2732,211.92097,1,0.59972006,3,car,16,112
247.99481,194.28966,275.44946,229.8948,1,0.54213685,4,car,16,109
356.4256,186.33287,387.21432,223.5178,1,0.5350391,6,car,16,89
298.74344,149.33633,311.72314,169.68124,1,0.4937614,5,car,16,105
281.2488,144.95247,291.83862,160.57341,1,0.46470395,8,car,16,73
263.7266,148.84386,276.02512,167.37996,1,0.46459365,7,car,16,113
304.37268,235.68167,353.73898,306.04007,1,0.71502835,1,car,17,107
287.72006,183.53217,310.2709,211.91658,1,0.59951603,3,car,17,112
247.99377,194.29692,275.44745,229.89082,1,0.54208356,4,car,17,109
356.4257,186.33493,387.21442,223.51112,1,0.53505045,6,car,17,89
298.74213,149.33885,311.72305,169.68175,1,0.49372658,5,car,17,105
281.2548,144.96579,291.8422,160.57645,1,0.4659717,8,car,17,73
263.73026,148.83351,276.06763,167.3835,1,0.4633131,7,car,17,113
289.26175,182.9414,310.0092,213.61343,1,0.6411874,3,car,18,112
247.40929,195.25116,274.64258,233.32898,1,0.59400195,4,car,18,109
305.1725,245.26755,356.13983,312.4646,1,0.49882805,1,car,18,107
263.5091,147.71794,277.07474,168.27287,1,0.47163153,7,car,18,113
299.20837,150.83708,312.4802,170.59238,1,0.4187986,5,car,18,105
281.54233,147.09712,291.67505,161.18347,1,0.40218344,8,car,18,73
357.22418,186.27682,391.98672,226.8519,1,0.22781634,6,car,18,89
289.261,182.94225,310.00754,213.61177,1,0.6410305,3,car,19,112
247.40924,195.25333,274.63712,233.32729,1,0.5935161,4,car,19,109
305.19864,245.28883,356.14734,312.50375,1,0.49773934,1,car,19,107
263.5106,147.71986,277.07468,168.272,1,0.47143263,7,car,19,113
299.20975,150.8407,312.47958,170.59554,1,0.41886452,5,car,19,105
281.54333,147.10121,291.67233,161.1833,1,0.40253797,8,car,19,73
350.49228,174.82597,372.5042,200.3185,1,0.3592265,9,car,19,103
357.22635,186.27635,391.98953,226.84572,1,0.22729456,6,car,19,89
289.4318,185.21947,310.79187,215.99585,1,0.64171165,3,car,20,112
247.6311,197.43593,274.1666,235.34009,1,0.61653507,4,car,20,109
305.28802,250.5429,358.22534,310.4574,1,0.53762937,1,car,20,107
299.9375,151.15512,312.8916,170.02612,1,0.4716733,5,car,20,105
351.49936,175.18164,374.94473,201.50592,1,0.37072048,9,car,20,103
281.59332,147.44382,291.92346,161.43309,1,0.36678085,8,car,20,73
263.535,148.6353,276.34674,169.21365,1,0.3306088,7,car,20,113
358.15262,186.45413,392.92673,229.36835,1,0.29139078,6,car,20,89
289.39426,185.22762,310.75357,215.97424,1,0.639815,3,car,21,112
247.10522,197.28575,274.2436,236.1614,1,0.6155741,4,car,21,109
305.37823,250.3617,358.12372,310.44296,1,0.5327208,1,car,21,107
299.93716,151.17053,312.88373,170.01674,1,0.47077274,5,car,21,105
351.51434,175.20937,374.91342,201.48262,1,0.36848092,9,car,21,103
281.5982,147.43718,291.9147,161.42717,1,0.36732614,8,car,21,73
263.5216,148.74864,276.30765,169.2234,1,0.33134136,7,car,21,113
358.1393,186.44348,392.90524,229.36679,1,0.2911187,6,car,21,89
289.38754,185.22826,310.7753,215.99826,1,0.6410661,3,car,22,112
247.60902,197.45576,274.08148,235.27802,1,0.6153629,4,car,22,109
305.3671,250.28891,358.2479,310.492,1,0.526724,1,car,22,107
299.94574,151.1508,312.88556,170.00812,1,0.4703914,5,car,22,105
281.6116,147.44012,291.92282,161.42615,1,0.36641327,8,car,22,73
351.518,175.1987,374.98907,201.48312,1,0.3654087,9,car,22,103
263.5269,148.6739,276.34332,169.2209,1,0.32909632,7,car,22,113
358.06644,186.33841,392.91672,229.3762,1,0.28969568,6,car,22,89
289.46335,187.50966,311.77136,217.81601,1,0.65026474,3,car,23,112
246.23145,199.04874,274.28546,238.56851,1,0.5286568,4,car,23,109
299.9907,151.3276,312.86746,170.17293,1,0.48331162,5,car,23,105
282.15738,147.42117,292.44498,161.9631,1,0.41736656,8,car,23,73
360.26816,187.02512,393.31268,230.24124,1,0.3842605,6,car,23,89
263.61017,146.72533,277.45566,169.55783,1,0.35821033,7,car,23,113
352.8324,176.20677,374.89938,202.64761,1,0.2680804,9,car,23,103
307.419,251.31784,353.63474,311.33563,1,0.113330774,1,car,23,107
289.46152,187.51437,311.7707,217.81932,1,0.6502055,3,car,24,112
246.23375,199.07013,274.28314,238.54875,1,0.52828145,4,car,24,109
299.99097,151.32074,312.868,170.176,1,0.4829085,5,car,24,105
282.15518,147.42354,292.4473,161.96729,1,0.4162893,8,car,24,73
360.25702,187.02695,393.3157,230.24437,1,0.38424698,6,car,24,89
263.6089,146.71573,277.46176,169.55789,1,0.35764793,7,car,24,113
352.83334,176.20372,374.90256,202.65361,1,0.26827517,9,car,24,103
307.38702,251.33414,353.6391,311.32825,1,0.11530277,1,car,24,107
